,Location,Parameter,Unit,Frequency,Date,Value
109,5 - 14TH & BOND,CaCO3,MG/L,1 / 3 MO.,1997-02-28,0.6904761904761905
110,5 - 14TH & BOND,Ag,UG/L,1 / 3 MO.,1997-02-28,0.7397499549194527
111,5 - 14TH & BOND,Zn,UG/L,1 / 3 MO.,1997-02-28,1.9130253298380409
112,5 - 14TH & BOND,Cd,UG/L,1 / 3 MO.,1997-02-28,0.10622473331941244
113,5 - 14TH & BOND,Pb,UG/L,1 / 3 MO.,1997-02-28,0.5574231812894951
114,5 - 14TH & BOND,Cu,UG/L,1 / 3 MO.,1997-02-28,1.2370993481155257
115,5 - 14TH & BOND,Flow,MGD,1 / 3 MO.,1997-02-28,0.0035068900074263555
116,5 - 14TH & BOND,TDS,MG/L,1 / 3 MO.,1997-02-28,1.0970873786407767
117,5 - 14TH & BOND,Streptococci,#/100ML,1 / 3 MO.,1997-02-28,0.1725
118,5 - 14TH & BOND,E.Coli,#/100ML,1 / 3 MO.,1997-02-28,0.0024390243902439024
119,5 - 14TH & BOND,"BOD, C",MG/L,1 / 3 MO.,1997-02-28,0.85
120,1 - UNIVERSITY & I-630,Se,UG/L,1 / 3 MO.,1997-05-31,0.25
121,1 - UNIVERSITY & I-630,Be,UG/L,1 / 3 MO.,1997-05-31,0.5
122,1 - UNIVERSITY & I-630,Ni,UG/L,1 / 3 MO.,1997-05-31,0.012068791898676599
123,1 - UNIVERSITY & I-630,Cr,UG/L,1 / 3 MO.,1997-05-31,0.029482263807426388
124,1 - UNIVERSITY & I-630,Hg,UG/L,1 / 3 MO.,1997-05-31,0.14705882352941177
125,1 - UNIVERSITY & I-630,Cyanide,UG/L,1 / 3 MO.,1997-05-31,0.4472271914132379
126,1 - UNIVERSITY & I-630,BOD,MG/L,1 / 3 MO.,1997-05-31,1.232519554396777
127,1 - UNIVERSITY & I-630,pH,SU,1 / 3 MO.,1997-05-31,0.8388888888888889
128,1 - UNIVERSITY & I-630,TSS,MG/L,1 / 3 MO.,1997-05-31,0.2385685884691851
129,1 - UNIVERSITY & I-630,Oil,MG/L,1 / 3 MO.,1997-05-31,0.3406666666666667
130,1 - UNIVERSITY & I-630,N,MG/L,1 / 3 MO.,1997-05-31,8.101449275362318
131,1 - UNIVERSITY & I-630,"N, Kjeldahl",MG/L,1 / 3 MO.,1997-05-31,0.7520143240823632
132,1 - UNIVERSITY & I-630,P,MG/L,1 / 3 MO.,1997-05-31,5.6000000000000005
133,1 - UNIVERSITY & I-630,CaCO3,MG/L,1 / 3 MO.,1997-05-31,0.5
134,1 - UNIVERSITY & I-630,Ag,UG/L,1 / 3 MO.,1997-05-31,1.2888201481866675
135,1 - UNIVERSITY & I-630,Zn,UG/L,1 / 3 MO.,1997-05-31,2.5511916506284966
136,1 - UNIVERSITY & I-630,Cd,UG/L,1 / 3 MO.,1997-05-31,0.15877480599104818
137,1 - UNIVERSITY & I-630,Pb,UG/L,1 / 3 MO.,1997-05-31,1.1601233938529105
138,1 - UNIVERSITY & I-630,Cu,UG/L,1 / 3 MO.,1997-05-31,1.9562652561725216
139,1 - UNIVERSITY & I-630,Flow,MGD,1 / 3 MO.,1997-05-31,0.008870368842313722
140,1 - UNIVERSITY & I-630,TDS,MG/L,1 / 3 MO.,1997-05-31,0.6213592233009708
141,1 - UNIVERSITY & I-630,Streptococci,#/100ML,1 / 3 MO.,1997-05-31,0.7375
142,1 - UNIVERSITY & I-630,E.Coli,#/100ML,1 / 3 MO.,1997-05-31,0.0024390243902439024
143,1 - UNIVERSITY & I-630,"BOD, C",MG/L,1 / 3 MO.,1997-05-31,0.9
144,2 - 33RD & WHITFIELD,Se,UG/L,1 / 3 MO.,1997-05-31,0.25
145,2 - 33RD & WHITFIELD,Be,UG/L,1 / 3 MO.,1997-05-31,0.5
146,2 - 33RD & WHITFIELD,Ni,UG/L,1 / 3 MO.,1997-05-31,0.00965170000689376
147,2 - 33RD & WHITFIELD,Cr,UG/L,1 / 3 MO.,1997-05-31,0.016074905885042717
148,2 - 33RD & WHITFIELD,Hg,UG/L,1 / 3 MO.,1997-05-31,0.09803921568627451
149,2 - 33RD & WHITFIELD,Cyanide,UG/L,1 / 3 MO.,1997-05-31,0.4472271914132379
150,2 - 33RD & WHITFIELD,BOD,MG/L,1 / 3 MO.,1997-05-31,0.7584735719364781
151,2 - 33RD & WHITFIELD,pH,SU,1 / 3 MO.,1997-05-31,0.8111111111111111
152,2 - 33RD & WHITFIELD,TSS,MG/L,1 / 3 MO.,1997-05-31,0.14910536779324068
153,2 - 33RD & WHITFIELD,Oil,MG/L,1 / 3 MO.,1997-05-31,0.15533333333333335
154,2 - 33RD & WHITFIELD,N,MG/L,1 / 3 MO.,1997-05-31,7.333333333333333
155,2 - 33RD & WHITFIELD,"N, Kjeldahl",MG/L,1 / 3 MO.,1997-05-31,0.6684571769621007
156,2 - 33RD & WHITFIELD,P,MG/L,1 / 3 MO.,1997-05-31,4.0
157,2 - 33RD & WHITFIELD,CaCO3,MG/L,1 / 3 MO.,1997-05-31,0.5952380952380952
158,2 - 33RD & WHITFIELD,Ag,UG/L,1 / 3 MO.,1997-05-31,0.9548885567258623
159,2 - 33RD & WHITFIELD,Zn,UG/L,1 / 3 MO.,1997-05-31,0.2672426746659847
160,2 - 33RD & WHITFIELD,Cd,UG/L,1 / 3 MO.,1997-05-31,0.12778634191137772
161,2 - 33RD & WHITFIELD,Pb,UG/L,1 / 3 MO.,1997-05-31,0.160937546972898
162,2 - 33RD & WHITFIELD,Cu,UG/L,1 / 3 MO.,1997-05-31,1.0557910138067232
163,2 - 33RD & WHITFIELD,Flow,MGD,1 / 3 MO.,1997-05-31,0.16379239211156038
164,2 - 33RD & WHITFIELD,TDS,MG/L,1 / 3 MO.,1997-05-31,0.8543689320388349
165,2 - 33RD & WHITFIELD,Streptococci,#/100ML,1 / 3 MO.,1997-05-31,0.3
166,2 - 33RD & WHITFIELD,E.Coli,#/100ML,1 / 3 MO.,1997-05-31,0.0024390243902439024
167,2 - 33RD & WHITFIELD,"BOD, C",MG/L,1 / 3 MO.,1997-05-31,0.5
168,3 - CHENAL PKWY & OAK MEADOW,Se,UG/L,1 / 3 MO.,1997-05-31,0.25
169,3 - CHENAL PKWY & OAK MEADOW,Be,UG/L,1 / 3 MO.,1997-05-31,0.5
